codigo;nome;latitude;longitude;localizacao;capacidadebikes
55;55 - Hospital Oswaldo Cruz.;-8.0478164;-34.8881181;Rua Doutor Carlos Chagas, oposto a entrada da Casa de Acolhimento / próximo ao Campus Santo Amaro - UPE;15
56;56 -R. Bernardino Soares da Silva;-8.0444877;-34.8907734;Rua Bernardino Soares da Silva, em frente ao número 50 / esquina com Rua Quarenta e Oito;15
57;57 - R. Alfredo de Medeiros;-8.0418614;-34.8905709;Rua Alfredo de Medeiros em frente ao número 44 e oposto ao Posto de Gasolina Shell / esquina com Av João de Barros;11
58;58 - Mercado da Encruzilhada;-8.0369899;-34.8913845;Praça Largo da Encruzilhada, próximo a Rua Amaro Coutinho e ao Mercado da Encruzilhada;23
59;59 - Praça do Rosarinho;-8.0327102;-34.8967708;Rua Amaro Coutinho, oposto a Praça do Rosarinho / esquina com Av Norte Miguel Arraes de Alencar;15
60;60 - Pina;-8.09891;-34.88402;Pina;27
61;61 - Segundo Jardim;-8.10487;-34.88679;Segundo Jardim;27
62;62 - Prof. José Brandão;-8.11367;-34.89104;Prof. José Brandão;27
63;63 - Padre Carapuceiro;-8.1210098;-34.8954169;Padre Carapuceiro;27
64;64 - R. Verdes Mares;-8.1352308;-34.9013796;R. Verdes Mares;19
65;65 - Parque Dona Lindú;-8.14211;-34.90362;Parque Dona Lindú;39
66;66 - Rua Eng. Antônio Jucá;-8.1666331;-34.9144867;Av Beira Mar, próximo a Rua Engenheiro Antônio Jucá;15
67;67 - Shopping Guararapes;-8.1663378;-34.9155497;Av Ayrton Senna da Silva no canteiro central oposto ao Posto de Gasolina Total / próximo da Rua Arão Lins de Andrade;19
68;68 - Faculdade Guararapes;-8.1626977;-34.9163684;Rua Prof Silvia Ferreira, oposto ao número 131 / em frente a Faculdade dos Guararapes / esquina com Rua Comendador José Didier;19
69;69 - Praça Massangana;-8.1571898;-34.915636;Praça Massangana, em frente a Av Zequinha Barreto;17
70;70 - Metrô Monte dos Guararapes;-8.1543814;-34.9195828;Rua São João em frente à estação de metrô Monte dos Guararapes / esquina com Av Zequinha Barreto;23
71;71 - Mercado Eufrásio Barbosa;-8.0203374;-34.8537242;Praça do Varadouro / esquina com Av Sigismundo Gonçalves;17
72;72 - Praça do Carmo;-8.0169892;-34.8485236;Praça do Carmo / esquina Av. Sigismundo Gonçalves e Av. Liberdade;23
73;73 - Praça Doze de Março;-8.0098717;-34.8423464;Praça Doze de Março / esquina com R. Cel. Henrique Guimarães;11
74;74 - R. João Cardoso Aires;-8.1430512;-34.9062126;RUA VISCONDE DE JEQUITINHONHA, OPOSTO AO Nº 2616,A1;15
75;75 - Alberto Lundgren;-8.0026105;-34.8395305;Av Ministro Marcos Freire, na calçada oposto ao número 1065 / próximo a Rua Alberto Lundgren;15
76;76 - R. Dr. Manoel de Barros Lima;-7.9965628;-34.8387641;Av Ministro Marcos Freire, na calçada oposto ao número 1755 / próximo a Rua Dr Manoel de Barros Lima;17
77;77 - Praia da Casa Caiada;-7.9885679;-34.8382621;Av Ministro Marcos Freire, na baia de estacionamento oposta ao número 2585 / próximo a Rua Jorn. Luís Andrade;19
78;78 - CCS UFPE;-8.0501954;-34.9473543;Av da Engenharia, dentro do estacionamento do centro de ciências da saude UFPE;23
79;79 - NIATE UFPE;-8.0550577;-34.9526868;Av Jornalista Anibal Fernandes, em frente ao Nucleo Integrado de Atividades de Ensino (Niate) - UFPE;23
80;80 -Restaurante Universitário UFPE;-8.0508827;-34.9534389;Estacionamento do CAC, próximo ao Restaurante Universitário / Esquina com a Avenida dos Funcionários;31
